1.00000,2.00000,550.00000,366.00000,0.05573,0.34468,0.16170
32.00000,2.00000,550.00000,366.00000,0.05603,0.02836,1.97555
128.00000,2.00000,550.00000,366.00000,0.05586,0.02092,2.67018
256.00000,2.00000,550.00000,366.00000,0.05598,0.02123,2.63743
512.00000,2.00000,550.00000,366.00000,0.05593,0.02237,2.50012
1024.00000,2.00000,550.00000,366.00000,0.05629,0.02535,2.22054
1.00000,4.00000,1100.00000,732.00000,0.25794,1.71951,0.15001
32.00000,4.00000,1100.00000,732.00000,0.25731,0.10505,2.44939
128.00000,4.00000,1100.00000,732.00000,0.25716,0.06828,3.76650
256.00000,4.00000,1100.00000,732.00000,0.25749,0.07015,3.67048
512.00000,4.00000,1100.00000,732.00000,0.25731,0.07550,3.40827
1024.00000,4.00000,1100.00000,732.00000,0.25684,0.08619,2.97987
1.00000,8.00000,2200.00000,1464.00000,1.00848,7.84447,0.12856
32.00000,8.00000,2200.00000,1464.00000,1.03934,0.42057,2.47131
128.00000,8.00000,2200.00000,1464.00000,1.00655,0.25388,3.96471
256.00000,8.00000,2200.00000,1464.00000,1.02671,0.26390,3.89055
512.00000,8.00000,2200.00000,1464.00000,1.00900,0.28709,3.51457
1024.00000,8.00000,2200.00000,1464.00000,1.02517,0.33404,3.06916
1.00000,10.00000,2750.00000,1830.00000,1.57942,12.60444,0.12531
32.00000,10.00000,2750.00000,1830.00000,1.60959,0.65972,2.43973
128.00000,10.00000,2750.00000,1830.00000,1.57105,0.39141,4.01379
256.00000,10.00000,2750.00000,1830.00000,1.62208,0.41093,3.94772
512.00000,10.00000,2750.00000,1830.00000,1.57247,0.44681,3.51955
1024.00000,10.00000,2750.00000,1830.00000,1.57251,0.51937,3.02779
1.00000,20.00000,5500.00000,3660.00000,6.20360,53.65014,0.11563
32.00000,20.00000,5500.00000,3660.00000,6.21048,2.83073,2.19395
128.00000,20.00000,5500.00000,3660.00000,6.21166,1.54282,4.02619
256.00000,20.00000,5500.00000,3660.00000,6.29344,1.61242,3.90292
512.00000,20.00000,5500.00000,3660.00000,6.29496,1.76799,3.56037
1024.00000,20.00000,5500.00000,3660.00000,6.20238,2.05551,3.01744
